step,loss,acc,tps
0,4.298353672027588,0.03125,9288.579275277616
50,3.4944422245025635,0.03125,16242.458478607556
100,3.4433677196502686,0.0625,16442.63728015331
150,3.4730663299560547,0.09375,16561.853722404405
200,3.596482753753662,0.0,16330.92876211234
250,3.5816547870635986,0.0,15912.205847083613
300,3.4728739261627197,0.03125,15826.015338337535
350,3.4593746662139893,0.03125,16398.487844316358
400,3.6163153648376465,0.03125,16123.125712178487
450,3.467325210571289,0.0,16415.018031575906
500,3.516059637069702,0.03125,16451.100293826486
550,3.552882194519043,0.0,15680.648680568778
600,3.5469534397125244,0.0,15808.220014023056
650,3.491483211517334,0.0625,15482.17029606156
700,3.4801487922668457,0.03125,15754.806058392347
750,3.45831298828125,0.0,15964.772809673343
800,3.456232786178589,0.0625,15376.496772201966
850,3.4900128841400146,0.0625,15552.212041353538
900,3.47155499458313,0.0625,16065.08712968511
950,3.4975550174713135,0.03125,16180.579305015555
1000,3.6059234142303467,0.03125,16535.11388198055
1050,3.536432981491089,0.0,16309.642176685331
1100,3.5251293182373047,0.09375,15819.421156761813
1150,3.4387550354003906,0.125,15958.551693235617
1200,3.4623937606811523,0.03125,16489.849816410417
1250,3.4612319469451904,0.0625,16089.272381769168
1300,3.520354986190796,0.03125,15946.2646049496
1350,3.4678657054901123,0.0625,15811.209799628963
1400,3.480473041534424,0.0,15726.071020674493
1450,3.5195388793945312,0.0,16359.30139594209
1500,3.546086072921753,0.0,15525.620567046399
1550,3.5213305950164795,0.03125,15719.264992288503
1600,3.515697956085205,0.03125,15350.241685692285
1650,3.5052709579467773,0.0625,15623.330838093721
1700,3.4920430183410645,0.0,15293.097132606796
1750,3.4808664321899414,0.03125,15828.406631249309
1800,3.510039806365967,0.0625,15737.869613800414
1850,3.480001449584961,0.03125,16258.775457224749
1900,3.4661896228790283,0.03125,15945.391379652054
1950,3.495884895324707,0.0,15679.281978932648
2000,3.419450044631958,0.0625,15126.072305886952
2050,3.5106210708618164,0.03125,15818.241341657049
2100,3.465435743331909,0.03125,15400.694728889393
2150,3.4683103561401367,0.03125,16627.992801472763
2200,3.4474401473999023,0.09375,15630.558856340087
2250,3.5669925212860107,0.0,15990.085354515142
2300,3.505513906478882,0.0,15533.06037997713
2350,3.4569859504699707,0.03125,15965.492369560769
2400,3.4329495429992676,0.0625,16400.272440104163
